Date,Close,High,Low,Open,Volume
2018-04-20,3071.54,3111.17,3065.92,3105.46,155100
2018-04-23,3068.01,3085.06,3045.94,3063.44,131700
2018-04-24,3128.93,3136.04,3069.75,3069.75,162300
2018-04-25,3117.97,3122.91,3107.0,3112.4,127300
2018-04-26,3075.03,3121.93,3067.93,3119.5,134000
2018-04-27,3082.23,3088.03,3049.91,3082.42,131200
2018-05-02,3081.18,3097.6,3064.76,3087.41,134200
2018-05-03,3100.86,3105.66,3056.16,3074.52,140000
2018-05-04,3091.03,3104.09,3086.78,3093.12,118700
2018-05-07,3136.65,3136.84,3091.66,3094.9,138900
2018-05-08,3161.5,3169.7,3134.06,3135.3,146900
2018-05-09,3159.15,3165.37,3145.66,3160.14,122600
2018-05-10,3174.41,3176.14,3155.53,3169.05,133000
2018-05-11,3163.26,3180.76,3162.21,3179.8,130700
2018-05-14,3174.03,3183.82,3163.48,3167.04,129300
2018-05-15,3192.12,3192.81,3164.52,3180.43,124500
2018-05-16,3169.56,3191.95,3166.81,3180.23,130500
2018-05-17,3154.28,3172.77,3148.62,3170.01,114000
2018-05-18,3193.3,3193.45,3144.78,3151.08,136500
2018-05-21,3213.84,3219.74,3203.34,3206.18,164500
2018-05-22,3214.35,3214.59,3192.23,3211.25,144300
2018-05-23,3168.96,3205.44,3168.96,3205.44,157800
2018-05-24,3154.65,3173.53,3152.07,3167.94,124100
2018-05-25,3141.3,3156.73,3131.07,3148.41,128600
2018-05-28,3135.08,3149.67,3115.96,3136.81,128800
2018-05-29,3120.46,3143.21,3112.15,3129.62,135700
2018-05-30,3041.44,3085.4,3041.0,3081.14,155100
2018-05-31,3095.47,3098.08,3054.27,3061.83,140500
2018-06-01,3075.14,3102.09,3059.79,3084.75,129900
2018-06-04,3091.19,3098.4,3076.99,3083.43,114600
2018-06-05,3114.21,3114.77,3080.05,3088.01,118700
2018-06-06,3115.18,3117.52,3103.53,3109.18,120200
2018-06-07,3109.5,3128.72,3105.58,3121.18,127800
2018-06-08,3067.15,3100.69,3053.29,3100.6,134700
2018-06-11,3052.78,3063.61,3037.91,3057.34,108600
2018-06-12,3079.8,3081.45,3034.1,3053.03,113300
2018-06-13,3049.8,3071.46,3044.12,3071.46,119600
2018-06-14,3044.16,3066.05,3032.41,3038.07,115500
2018-06-15,3021.9,3048.8,3008.73,3037.45,144500
2018-06-19,2907.82,2984.97,2871.35,2982.65,230600
2018-06-20,2915.73,2925.56,2872.16,2889.98,144300
2018-06-21,2875.81,2940.59,2872.62,2912.0,154400
2018-06-22,2889.76,2891.97,2837.14,2855.58,126100
2018-06-25,2859.34,2908.62,2857.87,2903.45,121900
2018-06-26,2844.51,2850.24,2803.78,2830.0,125900
2018-06-27,2813.18,2854.26,2798.8,2842.4,129400
2018-06-28,2786.9,2825.99,2782.45,2799.9,118400
2018-06-29,2847.42,2848.37,2782.38,2789.81,125700
2018-07-02,2775.56,2845.68,2756.81,2841.58,137000
2018-07-03,2786.89,2786.89,2722.45,2774.57,142500
2018-07-04,2759.13,2793.18,2754.16,2776.63,123300
2018-07-05,2733.88,2777.52,2727.94,2755.34,129200
2018-07-06,2747.23,2768.87,2691.02,2731.35,136300
2018-07-09,2815.11,2815.79,2752.45,2752.45,121500
2018-07-10,2827.62,2828.49,2800.62,2819.71,117100
2018-07-11,2777.77,2794.36,2752.44,2780.7,126800
2018-07-12,2837.66,2844.19,2771.04,2771.04,147000
2018-07-13,2831.18,2835.46,2818.85,2831.43,117700
2018-07-16,2814.04,2837.51,2804.49,2827.08,107800
2018-07-17,2798.13,2806.92,2774.76,2806.89,105400
2018-07-18,2787.26,2818.4,2786.04,2801.78,121000
